id_arbol,especie,latitud,longitud
917703556,desconocida,37.4050994,-5.9638869
917703563,desconocida,37.405125,-5.9637796
917703570,desconocida,37.405142,-5.9636616
917703573,desconocida,37.4051676,-5.9635543
917703588,desconocida,37.4051761,-5.9634578
917703595,desconocida,37.4050824,-5.964005
955775842,desconocida,37.40075,-5.9933306
1188156740,desconocida,37.3958983,-6.0292331
1325472758,Jacaranda mimosifolia,37.3645673,-5.9698131
1343642884,Taxodium distichum,37.3777943,-5.9891341
1349124280,broadleaved,37.3999048,-6.0049646
1349124290,broadleaved,37.3990866,-6.0052625
1349124298,broadleaved,37.3972263,-6.0065337
1349124302,broadleaved,37.3981661,-6.0058633
1349124304,broadleaved,37.3971752,-6.006582
1349124307,broadleaved,37.3984133,-6.005638
1349124308,broadleaved,37.399027,-6.0054878
1349124310,broadleaved,37.3995,-6.0052249
1349124311,broadleaved,37.3971367,-6.0066142
1349124312,broadleaved,37.3980168,-6.0059545
1349124313,broadleaved,37.3995296,-6.0050694
1349124314,broadleaved,37.3987373,-6.0054571
1349124315,broadleaved,37.3985667,-6.0055522
1349124316,broadleaved,37.4000304,-6.0049083
1349124317,broadleaved,37.3996788,-6.0049834
1349124318,broadleaved,37.3973286,-6.006464
1349124319,broadleaved,37.3996299,-6.0049968
1349124320,broadleaved,37.3978846,-6.0060403
1349124321,broadleaved,37.3994702,-6.0050908
1349124322,broadleaved,37.399321,-6.0051391
1349124323,broadleaved,37.3989337,-6.0053474
1349124324,broadleaved,37.399174,-6.0052102
1349124325,broadleaved,37.3974499,-6.006362
1349124326,broadleaved,37.3998301,-6.0050209
1349124327,broadleaved,37.3993977,-6.005123
1349124328,broadleaved,37.39846,-6.0056058
1349124329,broadleaved,37.3977653,-6.0061261
1349124330,broadleaved,37.3982856,-6.0057253
1349124331,broadleaved,37.3976354,-6.0062038
1349143207,broadleaved,37.3988562,-6.0061636
1349143210,broadleaved,37.3984259,-6.0061878
1349143230,broadleaved,37.3989841,-6.0063353
1349143237,broadleaved,37.3986686,-6.0058337
1349143261,broadleaved,37.3986006,-6.0062682
1349143262,broadleaved,37.3990011,-6.0065284
1349143274,broadleaved,37.3983832,-6.0060107
1349143291,broadleaved,37.3988562,-6.0062816
1349149488,broadleaved,37.3959871,-6.0094693
1349149490,broadleaved,37.3961533,-6.0097778
1349149493,broadleaved,37.3958466,-6.0097775
1349149499,broadleaved,37.3961255,-6.0096597
1349149502,broadleaved,37.3957164,-6.0094934
1349149504,broadleaved,37.3958934,-6.0102227
1349149505,broadleaved,37.3958122,-6.0102176
1349149510,broadleaved,37.3961574,-6.0098609
1349149512,broadleaved,37.3958399,-6.0094425
1349149514,broadleaved,37.3959401,-6.0102096
1349149515,broadleaved,37.3957697,-6.009472
1349149521,broadleaved,37.3960104,-6.0101667
