id_via,tipo,nombre,latitud,longitud
10233186,trunk,Carretera Gijón a Puerto de Sevilla,37.3712208,-6.0140582
18978590,primary,Calle Reyes Católicos,37.3879175,-6.0009162
19124158,primary,Calle Marqués de Paradas,37.3885083,-6.0006208
19745791,secondary,Calle Carretera de Carmona,37.4030778,-5.9658355
19746072,primary,Avenida Concejal Alberto Jiménez-Becerril,37.4046337,-5.9946133
19746094,primary,Glorieta Olímpica,37.413304,-5.9883799
19746250,primary,Sin nombre,37.4037869,-5.9955582
19746878,primary,Plaza Duquesa Cayetana de Alba,37.4035641,-5.9957436
19747214,primary,Calle Torneo,37.3918635,-6.0031112
19747258,primary,Calle Arjona,37.3907416,-6.0028274
19747779,primary,Puente del Cristo de la Expiración,37.3902381,-6.0076291
19747830,primary,Avenida del Cristo de la Expiración,37.3905976,-6.0040272
19747856,primary,Avenida del Cristo de la Expiración,37.3904088,-6.0060126
19747865,primary,Avenida del Cristo de la Expiración,37.3905616,-6.0045726
19748167,primary,Sin nombre,37.3907028,-6.0029207
19748204,primary,Plaza La Legión,37.3908901,-6.0020431
19748248,primary,Plaza La Legion,37.3907707,-6.0026497
19748287,primary,Sin nombre,37.3908174,-6.0026633
19748798,primary,Paseo de Cristóbal Colón,37.3872674,-6.0012964
19753374,primary_link,Sin nombre,37.3759059,-5.991453
19753405,primary,Avenida de El Cid,37.3805526,-5.9889051
19753489,primary_link,Sin nombre,37.3814972,-5.9882113
19753657,primary_link,Sin nombre,37.3815393,-5.9883716
19753727,primary,Calle Resolana,37.4031758,-5.9904787
19783204,motorway,Circunvalación de Sevilla,37.4038367,-5.9476827
19783251,motorway,Circunvalación de Sevilla,37.3593513,-5.9552528
19783259,motorway,Circunvalación de Sevilla,37.357992,-5.9566764
19783281,motorway,Circunvalación de Sevilla,37.3535036,-5.9595984
19783394,motorway,Circunvalación de Sevilla,37.3490455,-5.9931959
19783395,motorway,Circunvalación de Sevilla,37.3539622,-5.9989861
19783997,motorway,Circunvalación de Sevilla,37.3643707,-6.0112422
19784048,motorway,Circunvalación de Sevilla,37.3680768,-6.0137531
19784051,motorway,Circunvalación de Sevilla,37.3724164,-6.0205999
19784070,motorway,Circunvalación de Sevilla,37.3726141,-6.0255843
19784100,motorway,Circunvalación de Sevilla,37.4002224,-6.0280505
19784147,motorway,Circunvalación de Sevilla,37.4062116,-5.9483971
19784155,primary,Ronda Urbana Norte,37.4136754,-5.9501685
19784160,motorway_link,Sin nombre,37.4065415,-5.9493255
19784172,motorway_link,Sin nombre,37.4073444,-5.9514527
19784189,motorway_link,Sin nombre,37.4075819,-5.950672
19784202,motorway,Sin nombre,37.40711,-5.9476845
19784224,motorway,Sin nombre,37.4091414,-5.9444852
19784267,motorway_link,Sin nombre,37.4093565,-5.9437025
19784287,motorway_link,Sin nombre,37.4084524,-5.9496746
19784312,motorway_link,Sin nombre,37.4076035,-5.9491913
19784346,motorway_link,Sin nombre,37.4090253,-5.9490107
19784385,motorway_link,Sin nombre,37.4094951,-5.9486079
19784413,motorway,Autovía del Sur,37.4087211,-5.9457413
19784483,motorway,Circunvalación de Sevilla,37.413733,-6.026186
19784490,secondary,Acceso a Sevilla desde la SE-30 por el Puente del Alamillo,37.4131912,-5.9889203
19784522,primary,Avenida Concejal Alberto Jiménez-Becerril,37.4111177,-5.9901446
19784533,primary,Avenida Juventudes Musicales,37.4132305,-5.9859226
19784543,secondary,Sin nombre,37.4135148,-5.9832329
19854002,secondary,Calle Torneo,37.3939941,-6.0028284
22742149,primary,Calle Demetrio de los Ríos,37.3855708,-5.985916
22742198,primary,Calle Arjona,37.3907514,-6.0029844
22743508,primary,Avenida Juventudes Musicales,37.4134928,-5.9859549
22743515,primary,Ronda Urbana Norte,37.4139062,-5.9812262
22744074,primary,Calle La Rábida,37.3788644,-5.9923221
22744081,primary,Sin nombre,37.3776802,-5.9927528
22744108,primary,Glorieta Doña María de las Mercedes de Borbón y Orleans,37.3795158,-5.9829774
