Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-6.01395133259496,37.38114476042359,0.2450786083936691,-0.0178204998373985,0.17585645,150.0,44.72582315,29.6341710438672,359.63719386446394,1,16,13.125,POINT (-6.01395133259496 37.38114476042359),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.013771669538136,37.38114476042359,0.0879487544298172,0.0784535408020019,0.1755388,144.22205101855957,44.72582315,45.415692814617515,345.3537713217261,1,23,12.652173913043478,POINT (-6.013771669538136 37.38114476042359),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.014130995651784,37.38096509736677,0.538764238357544,-0.0992409363389015,0.1111345,161.24515496597098,44.51732393000003,15.6227246045973,382.72295247653864,0,9,14.666666666666666,POINT (-6.014130995651784 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.01395133259496,37.38096509736677,0.6318673491477966,-0.1334048956632614,0.1601025499999999,158.11388300841895,44.39940224000003,31.31616566193256,368.6498135772272,0,19,10.421052631578949,POINT (-6.01395133259496 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.013771669538136,37.38096509736677,0.1297225952148437,0.0715448930859565,0.16942295,152.64337522473747,44.39940224000003,47.136232313663335,354.72947608840934,0,28,10.714285714285714,POINT (-6.013771669538136 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.013592006481312,37.38096509736677,0.0822826772928237,-0.0408423729240894,0.2435815999999999,147.648230602334,44.63011859000005,62.98758622889556,340.98065461067756,0,42,9.357142857142858,POINT (-6.013592006481312 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.013412343424489,37.38096509736677,0.057120431214571,0.0898032709956169,0.2359860999999999,143.17821063276352,44.63011859000005,78.85136079000752,327.42495611771955,0,54,8.722222222222221,POINT (-6.013412343424489 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.013232680367665,37.38096509736677,0.0841004848480224,-0.0243255198001861,0.2539437,139.2838827718412,44.91723227,94.72131563273832,314.0873865915702,0,67,9.26865671641791,POINT (-6.013232680367665 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.013053017310841,37.38096509736677,0.247609943151474,0.0515988357365131,0.1894866,136.01470508735443,44.91723227,110.59479024438504,300.99694417133054,1,76,8.526315789473685,POINT (-6.013053017310841 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.012873354254016,37.38096509736677,0.0648337379097938,-0.011648429557681,0.2451464,133.41664064126334,45.18212882,126.47045931964192,288.18730687209114,1,78,8.461538461538462,POINT (-6.012873354254016 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.012693691197192,37.38096509736677,0.0938307046890258,0.1859049648046493,0.17209585,131.52946437965906,45.18212882,142.3475886309689,275.6976183090327,1,87,8.241379310344827,POINT (-6.012693691197192 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
-6.012514028140369,37.38096509736677,0.1065673679113388,0.1177804172039032,0.17266365,130.384048104053,45.37182892999999,158.22573859798803,263.57336568320284,1,87,8.137931034482758,POINT (-6.012514028140369 37.38096509736677),99,relation/15539777,relation/15539777,,10,,administrative,,Barrio León,,neighbourhood,,boundary,,Q109430442,
