Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.967598263934393,37.42049096986803,0.0536894984543323,0.137942224740982,0.1730933499999999,111.80339887498948,46.19215373000003,823.3486730201749,383.0459700923928,0,33,19.0,POINT (-5.967598263934393 37.42049096986803),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967777926991217,37.4203113068112,0.1058495789766311,0.4071677327156067,0.1150294,120.41594578792296,46.915064959999995,847.4687475169986,367.29479222582023,0,22,15.681818181818182,POINT (-5.967777926991217 37.4203113068112),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967598263934393,37.4203113068112,0.1175406873226165,0.0492307692766189,0.2087658,121.65525060596438,46.27076819000001,834.1391160571992,365.38269167366946,0,26,17.423076923076923,POINT (-5.967598263934393 37.4203113068112),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.9674186008775685,37.4203113068112,0.4204204082489013,-0.0032699955627322,0.17912495,123.6931687685298,46.27076819000001,820.9003236158505,358.0265717198131,0,28,18.75,POINT (-5.9674186008775685 37.4203113068112),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967238937820745,37.4203113068112,0.4145792424678802,0.027476780116558,0.1633896,126.49110640673518,46.04005184000005,807.7568366444189,351.2350070785323,0,31,18.870967741935484,POINT (-5.967238937820745 37.4203113068112),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967059274763921,37.4203113068112,0.293809026479721,0.0045413258485496,0.17750405,130.0,46.04005184000005,794.7133838286653,345.0413363566286,0,35,19.2,POINT (-5.967059274763921 37.4203113068112),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967957590048041,37.420131643754374,0.0859886482357978,0.3863608241081238,0.11930205,130.0,46.93557308000004,871.6696710610674,346.429343598517,0,15,14.2,POINT (-5.967957590048041 37.420131643754374),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967777926991217,37.420131643754374,0.0949778854846954,0.1560368984937667,0.1643144,130.384048104053,46.93557308000004,858.4219899962355,347.3571570599333,0,21,16.428571428571427,POINT (-5.967777926991217 37.420131643754374),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.967598263934393,37.420131643754374,0.467496395111084,-0.0747945010662078,0.19805915,131.52946437965906,46.33741958000002,845.2651062404932,347.972434058443,0,21,17.857142857142858,POINT (-5.967598263934393 37.420131643754374),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.9674186008775685,37.420131643754374,0.4100866019725799,0.0085072088986635,0.17397535,133.41664064126334,46.33741958000002,832.2033262392521,340.2401057302095,0,23,17.73913043478261,POINT (-5.9674186008775685 37.420131643754374),28,relation/4728831,relation/4728831,,10,,administrative,,Consolación,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
