Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.983767939048544,37.37467689037793,0.4161456227302551,-0.0169626828283071,0.1594772,123.6931687685298,47.248321910000016,2513.3919344864516,143.13419883274284,0,6,6.0,POINT (-5.983767939048544 37.37467689037793),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.98358827599172,37.37467689037793,0.3416184186935425,0.0181893352419137,0.1591315,121.65525060596438,47.140654280000035,2523.73691182264,153.86406053828938,0,6,6.0,POINT (-5.98358827599172 37.37467689037793),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.9834086129348965,37.37467689037793,0.575688362121582,-0.1036260202527046,0.178891,120.41594578792296,47.140654280000035,2534.1391976977607,165.42487368125336,0,9,6.0,POINT (-5.9834086129348965 37.37467689037793),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.983228949878073,37.37467689037793,0.2332322597503662,0.0626843646168708,0.1807142999999999,120.0,46.86379466000005,2544.59808928194,177.6544905056492,1,10,6.0,POINT (-5.983228949878073 37.37467689037793),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.983767939048544,37.37449722732111,0.5146794319152832,-0.0560614913702011,0.18670315,120.41594578792296,46.58009900000002,2498.219042868008,158.93571110339943,0,5,6.0,POINT (-5.983767939048544 37.37449722732111),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.98358827599172,37.37449722732111,0.2145589888095855,-0.0232598651200532,0.21296235,121.65525060596438,46.34938265000005,2508.626590368298,168.66330517863824,0,6,6.0,POINT (-5.98358827599172 37.37449722732111),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.9834086129348965,37.37449722732111,0.3708991706371307,-0.0717450603842735,0.2058668,123.6931687685298,46.13746541,2519.0912732799197,179.2722795663365,0,7,6.0,POINT (-5.9834086129348965 37.37449722732111),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.983228949878073,37.37449722732111,0.1534894853830337,0.062970831990242,0.1852537,126.49110640673518,46.13746541,2529.6123825171508,190.6155276604555,0,9,6.0,POINT (-5.983228949878073 37.37449722732111),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.983049286821249,37.37449722732111,0.0960790812969207,0.0616203881800174,0.1962763,130.0,46.22633393000001,2540.1892169503444,202.56973615753532,0,6,6.0,POINT (-5.983049286821249 37.37449722732111),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
-5.982869623764425,37.37449722732111,0.1047396138310432,0.0503814220428466,0.22992045,126.49110640673518,46.22633393000001,2550.8210833954577,215.03303487106484,0,6,6.0,POINT (-5.982869623764425 37.37449722732111),41,relation/5500638,relation/5500638,,10,,administrative,,El Porvenir,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5822904,es:El Porvenir (Sevilla)
