id_edificio,latitud,longitud,altura_estimada
18536016,37.3886323,-5.9944905,9.0
18548712,37.3929853,-5.974108,12.0
19827032,37.4234066,-5.8992977,6.0
19827061,37.4217113,-5.9023424,6.0
19827080,37.4217325,-5.90431,6.0
27756958,37.3915698,-6.0024299,6.0
27756964,37.3925897,-6.0022965,15.0
27757008,37.3919216,-6.003849,6.0
27879867,37.4024757,-5.9761378,42.0
27879956,37.4021726,-5.9756383,42.0
27879977,37.402105,-5.9760991,42.0
28111649,37.3840924,-5.9966241,6.0
28112279,37.3824025,-5.9963156,30.0
28118247,37.3837226,-5.9485289,6.0
31292884,37.3932279,-5.996486,6.0
31292886,37.3924526,-5.9964016,6.0
32525369,37.382982,-5.9841863,6.0
32658312,37.3876962,-6.001596,6.0
35781517,37.369686,-5.9891926,6.0
35781524,37.3708817,-5.9870688,6.0
35781525,37.3721727,-5.9878735,6.0
35783381,37.3789703,-5.9760859,6.0
35783384,37.3792729,-5.9748913,6.0
35783386,37.3781859,-5.9764437,6.0
36276081,37.3700494,-5.9663333,6.0
36740310,37.3626361,-5.9769871,9.0
36740311,37.3631176,-5.9780546,6.0
36740312,37.3628246,-5.9794684,6.0
36740313,37.3619248,-5.9787126,6.0
36740314,37.3618823,-5.9802589,6.0
36740315,37.363392,-5.9770807,6.0
36740317,37.3604502,-5.9868759,6.0
36740318,37.3604323,-5.9880726,6.0
36740319,37.359346,-5.9879983,9.0
36740320,37.3592618,-5.9868637,6.0
36740322,37.3599158,-5.9882574,6.0
36740323,37.358834,-5.9867048,9.0
37522264,37.378638,-5.9908715,6.0
37525225,37.3949852,-5.9839186,6.0
37532394,37.3954124,-5.9893916,6.0
39730485,37.4181521,-5.9741233,6.0
39816061,37.3717036,-5.9589466,6.0
39816065,37.3727989,-5.9517125,6.0
39933951,37.4019957,-5.97453,6.0
39934036,37.3978542,-5.9741727,6.0
39934037,37.397888,-5.9746803,6.0
39934038,37.3973542,-5.9737554,6.0
39964872,37.4112563,-6.0006101,6.0
39970788,37.4120753,-6.0022567,9.0
39970789,37.4118691,-6.002358,9.0
39970790,37.4116695,-6.0024171,9.0
39970791,37.4114784,-6.0025445,9.0
39970809,37.41158,-6.0019127,9.0
39990194,37.3792603,-5.9452569,6.0
39991555,37.3633833,-5.9799209,6.0
39991558,37.3637813,-5.9792366,6.0
40352411,37.3693841,-5.9588602,6.0
40352412,37.3708305,-5.9612327,6.0
40409865,37.372883,-5.9663484,6.0
40413428,37.3745593,-5.9648182,6.0
40413429,37.3742625,-5.964971,6.0
40413432,37.3744934,-5.9653751,6.0
40413433,37.3747568,-5.9644763,6.0
40509107,37.3962661,-5.9928295,6.0
40509113,37.3954619,-5.9942151,6.0
40572559,37.4067944,-5.9867384,6.0
40641236,37.4088818,-5.9853537,6.0
40641575,37.4051939,-5.9931135,12.0
40645389,37.3986779,-5.983425,6.0
40660624,37.4024674,-5.9894343,6.0
40700003,37.4044078,-5.9716744,6.0
40734480,37.3624845,-5.9794345,6.0
40734498,37.3632607,-5.9746233,6.0
40908372,37.4070966,-5.9389836,6.0
40949413,37.4039217,-5.9467237,6.0
40949425,37.4032788,-5.9464721,6.0
40949430,37.4034867,-5.9456767,6.0
40949432,37.4041267,-5.945929,6.0
40981608,37.403283,-5.9754411,6.0
40981610,37.40267,-5.9750103,6.0
40981611,37.4032139,-5.9747692,15.0
40981613,37.4035923,-5.9747648,6.0
40981619,37.4027879,-5.9766123,15.0
40981629,37.4029104,-5.9759166,15.0
40981639,37.4035495,-5.9764886,6.0
40981659,37.4035054,-5.9758097,6.0
40981678,37.4039038,-5.976005,15.0
40981685,37.4023898,-5.9768433,6.0
40981686,37.4027907,-5.977201,15.0
41215861,37.4009292,-5.9398872,6.0
41741120,37.3883832,-5.96033,6.0
42091405,37.3717304,-5.9573498,6.0
45110577,37.3867343,-5.9716402,6.0
45172173,37.3778494,-5.9676301,6.0
