Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.973706807866406,37.372700596752864,0.1831530183553695,0.0363493300974369,0.12151355,80.62257748298549,46.626242270000034,2206.7119215717794,8.599992789211232,2,5,6.0,POINT (-5.973706807866406 37.372700596752864),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.973527144809582,37.372700596752864,0.4821130037307739,-0.1572901755571365,0.13437535,76.15773105863909,46.492939490000026,2194.996890211402,10.242755904909403,3,2,6.0,POINT (-5.973527144809582 37.372700596752864),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.973347481752758,37.372700596752864,0.3902013599872589,-0.0932668298482894,0.1408033,72.80109889280519,46.492939490000026,2183.334532481297,3.791938915795802,2,2,6.0,POINT (-5.973347481752758 37.372700596752864),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.975144112320997,37.372520933696045,0.3385213911533355,0.0395085848867893,0.1197355499999999,134.1640786499874,46.65529544000003,2289.097531426293,118.51547581090684,0,17,6.0,POINT (-5.975144112320997 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.9749644492641725,37.372520933696045,0.3388909101486206,0.0483060665428638,0.12800095,125.29964086141668,46.42116107000004,2277.1965857548544,115.22285304151434,0,15,6.0,POINT (-5.9749644492641725 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.974784786207349,37.372520933696045,0.4500188529491424,0.0744040459394455,0.1265991,116.619037896906,46.42116107000004,2265.066601052391,103.34804690393052,0,13,6.0,POINT (-5.974784786207349 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.974605123150525,37.372520933696045,0.323265016078949,0.0948222875595092,0.13263895,108.16653826391968,46.38185384000002,2252.98326973144,87.66319768189176,0,12,6.0,POINT (-5.974605123150525 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.974425460093701,37.372520933696045,0.179213598370552,0.1701890975236892,0.1248289,100.0,46.38185384000002,2240.947346466259,72.06485352830312,1,10,6.0,POINT (-5.974425460093701 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.974245797036877,37.372520933696045,0.4525419473648071,0.0960099771618843,0.0924295,92.19544457292886,46.345964630000026,2228.9595992380473,56.624548188436265,2,8,6.0,POINT (-5.974245797036877 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
-5.974066133980053,37.372520933696045,0.219358429312706,0.0833565667271614,0.1181878,84.85281374238569,46.345964630000026,2217.020809531108,41.51897467786049,1,5,6.0,POINT (-5.974066133980053 37.372520933696045),46,relation/5502110,relation/5502110,,10,,administrative,,Felipe II-Los Diez Mandamientos,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q5858241,es:Felipe II-Los Diez Mandamientos
