Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.968137253104865,37.40306365335611,0.356764942407608,0.0306466855108737,0.12536815,134.1640786499874,48.81377507000002,1751.8622730021466,10.80761735747426,0,21,5.714285714285714,POINT (-5.968137253104865 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967957590048041,37.40306365335611,0.3030489087104797,0.0777697339653968,0.11723855,125.29964086141668,48.665091200000006,1736.5156112644634,5.239311662894634,0,21,5.714285714285714,POINT (-5.967957590048041 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967777926991217,37.40306365335611,0.2654756903648376,0.0992163270711898,0.11518555,116.619037896906,48.665091200000006,1721.178666559347,21.037719403997343,0,23,5.739130434782608,POINT (-5.967777926991217 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967598263934393,37.40306365335611,0.159719169139862,0.1636075973510742,0.1109855,108.16653826391968,48.66680021000002,1705.8517009781644,36.90813387329723,0,22,5.7272727272727275,POINT (-5.967598263934393 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.9674186008775685,37.40306365335611,0.1649269312620163,0.1510725766420364,0.11580545,100.0,48.66680021000002,1690.5349859433406,49.22871758871637,0,20,5.7,POINT (-5.9674186008775685 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967238937820745,37.40306365335611,0.1521511077880859,0.1288018971681594,0.1334015,92.19544457292886,48.61894792999999,1675.228802618935,33.8639373657818,1,13,5.538461538461538,POINT (-5.967238937820745 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967059274763921,37.40306365335611,0.1480589061975479,0.1148725375533104,0.17359485,84.85281374238569,48.61894792999999,1659.9334423425937,19.353431986831865,1,9,5.333333333333333,POINT (-5.967059274763921 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966879611707097,37.40306365335611,0.1895293295383453,0.0367879346013069,0.18302125,78.10249675906654,48.591603770000006,1644.649207079578,10.336046762871796,1,6,6.0,POINT (-5.966879611707097 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966699948650273,37.40306365335611,0.0938806533813476,-0.0490249693393707,0.2367391,72.11102550927978,48.591603770000006,1629.3764099020427,18.53650055872347,1,6,6.0,POINT (-5.966699948650273 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966520285593449,37.40306365335611,0.1376265883445739,0.0877667888998985,0.18409575,67.0820393249937,48.51298931000002,1614.1153754920845,32.937202378317544,1,7,6.0,POINT (-5.966520285593449 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966340622536626,37.40306365335611,0.0594042539596557,-0.0904949605464935,0.2641543499999999,63.24555320336759,48.51298931000002,1598.8664406734867,44.68059350251285,2,6,6.0,POINT (-5.966340622536626 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966160959479802,37.40306365335611,0.1492134183645248,0.1304556876420974,0.14836475,60.82762530298219,48.495899210000005,1583.629954971008,28.81368546071725,3,6,6.0,POINT (-5.966160959479802 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965981296422978,37.40306365335611,0.1740122884511947,0.1542062014341354,0.13323025,60.0,48.34721534000005,1568.4062812001102,12.98425820671434,2,6,6.0,POINT (-5.965981296422978 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965801633366154,37.40306365335611,0.1456919014453888,0.1718671321868896,0.1367262,60.82762530298219,48.34721534000005,1553.1957960900193,3.382737027265126,1,4,6.0,POINT (-5.965801633366154 37.40306365335611),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.969035568388984,37.40288399029928,0.081989549100399,0.1492857187986374,0.1099758999999999,156.5247584249853,49.08208964000005,1833.7470415230512,14.006328196973476,0,22,5.7272727272727275,POINT (-5.969035568388984 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.96885590533216,37.40288399029928,0.0514126904308795,0.0456838570535182,0.1456638,165.52945357246847,49.08208964000005,1818.397868895794,15.524217647779972,0,22,5.7272727272727275,POINT (-5.96885590533216 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.968676242275336,37.40288399029928,0.0700964629650116,0.1089692115783691,0.1423519,165.52945357246847,49.09405271000003,1803.0579292890875,28.11253981513363,0,21,5.714285714285714,POINT (-5.968676242275336 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.968496579218512,37.40288399029928,0.1956224292516708,-0.0126288961619138,0.16427015,156.5247584249853,49.09405271000003,1787.7274603801918,42.943194028824315,0,21,5.714285714285714,POINT (-5.968496579218512 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.9683169161616885,37.40288399029928,0.1725631803274154,0.0282431785017251,0.1549745,147.648230602334,49.20513835999998,1772.406707919892,33.96478600432324,0,21,5.714285714285714,POINT (-5.9683169161616885 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.968137253104865,37.40288399029928,0.1561585515737533,0.0025246730074286,0.1667325,138.92443989449805,49.20513835999998,1757.0959260719708,23.659311587797916,0,21,5.714285714285714,POINT (-5.968137253104865 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967957590048041,37.40288399029928,0.1675611138343811,-0.0056497175246477,0.1517182,130.384048104053,49.40509253000005,1741.7953777684857,21.68891003632671,0,21,5.714285714285714,POINT (-5.967957590048041 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967777926991217,37.40288399029928,0.2031872570514679,0.0218623485416173,0.1420479,122.06555615733704,49.40509253000005,1726.5053350828314,29.758092505808506,0,21,5.714285714285714,POINT (-5.967777926991217 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967598263934393,37.40288399029928,0.0728827863931655,0.0042486581951379,0.1820472,114.0175425099138,49.398256489999994,1711.2260796226096,42.487277835514014,0,21,5.714285714285714,POINT (-5.967598263934393 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.9674186008775685,37.40288399029928,0.0539798736572265,-0.0129946265369653,0.21538205,106.3014581273465,49.398256489999994,1695.957902941261,56.826780160656526,0,20,5.7,POINT (-5.9674186008775685 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967238937820745,37.40288399029928,0.0559746660292148,0.0381744131445884,0.232105,98.99494936611666,49.20513835999998,1680.7011069712962,44.26910952790988,0,14,5.571428571428571,POINT (-5.967238937820745 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967059274763921,37.40288399029928,0.0668506845831871,0.0137947527691721,0.25941135,92.19544457292886,48.61894792999999,1665.4560044797945,34.46074773056173,1,10,5.4,POINT (-5.967059274763921 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966879611707097,37.40288399029928,0.1027816161513328,0.0337913744151592,0.21894195,86.02325267042627,48.591603770000006,1650.222919546918,30.328561904000015,1,4,6.0,POINT (-5.966879611707097 37.40288399029928),4,relation/4642239,relation/4642239,,10,,administrative,,La Corza,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
