Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.965442307252506,37.40665691449259,0.2846575975418091,0.076975829899311,0.1970191,126.49110640673518,46.547627809999994,1438.663560905983,337.8489494882859,2,5,6.0,POINT (-5.965442307252506 37.40665691449259),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965262644195682,37.40665691449259,0.2343067377805709,0.0990265160799026,0.2018884,121.65525060596438,46.547627809999994,1422.9366269514344,351.1380732228995,2,3,6.0,POINT (-5.965262644195682 37.40665691449259),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965082981138858,37.40665691449259,0.3479713499546051,-0.039477314800024,0.1831805499999999,111.80339887498948,46.21778888000006,1407.213180942427,364.63470723502866,1,3,6.0,POINT (-5.965082981138858 37.40665691449259),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.966160959479802,37.40647725143576,0.1990471184253692,0.1701776832342147,0.1852469,130.0,46.71681980000005,1504.3928760309625,274.6245490042426,1,8,6.0,POINT (-5.966160959479802 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965981296422978,37.40647725143576,0.2181086540222168,0.0256699118763208,0.22472295,130.0,46.71681980000005,1488.6825620207132,287.32685026487604,1,9,6.0,POINT (-5.965981296422978 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965801633366154,37.40647725143576,0.5606564283370972,-0.0169136151671409,0.2346386,125.29964086141668,46.82106941000001,1472.97593494723,300.3319568539999,1,9,6.0,POINT (-5.965801633366154 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965621970309329,37.40647725143576,0.501791775226593,-0.0701962038874626,0.3054691499999999,120.83045973594572,46.82106941000001,1457.273114024974,313.60219895536244,2,6,6.0,POINT (-5.965621970309329 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965442307252506,37.40647725143576,0.2958950102329254,0.0402893163263797,0.3245460499999999,117.04699910719626,46.69802069000002,1441.5742236332098,327.105309539286,2,5,6.0,POINT (-5.965442307252506 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965262644195682,37.40647725143576,0.1107491850852966,0.0337010435760021,0.3737616999999999,114.0175425099138,46.69802069000002,1425.8793935971353,340.81361082730257,2,4,6.0,POINT (-5.965262644195682 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.965082981138858,37.40647725143576,0.1499583572149276,-0.0778097957372665,0.3249779,111.80339887498948,46.41090701000002,1410.188759486868,354.70331345904964,1,3,6.0,POINT (-5.965082981138858 37.40647725143576),92,relation/5829721,relation/5829721,,10,,administrative,,Las Naciones-Parque Atlántico-Las Dalias,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
