Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.971550851184519,37.41474175204966,0.0597878508269786,0.1683692783117294,0.14955455,53.85164807134504,51.13802867000004,1502.2314409732985,167.1505892015316,1,2,6.0,POINT (-5.971550851184519 37.41474175204966),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.971371188127695,37.41474175204966,0.0863547995686531,0.0225378200411796,0.1902538499999999,58.30951894845301,51.13802867000004,1491.2041478499086,167.30154761716398,1,3,6.0,POINT (-5.971371188127695 37.41474175204966),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.9711915250708705,37.41474175204966,0.107129618525505,0.0883190855383873,0.1824443,64.03124237432849,51.57040820000003,1480.2651142069446,168.95202176074935,0,3,6.0,POINT (-5.9711915250708705 37.41474175204966),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.971730514241343,37.41456208899284,0.0571428574621677,0.162335991859436,0.1493515,41.23105625617661,50.64070676000006,1527.6447706075735,152.12032858948558,1,2,6.0,POINT (-5.971730514241343 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.971550851184519,37.41456208899284,0.1037678346037864,0.048660010099411,0.18459625,44.72135954999579,51.02010698000004,1516.6359365463109,166.48447777624352,1,3,6.0,POINT (-5.971550851184519 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.971371188127695,37.41456208899284,0.1289971768856048,0.029725182801485,0.2050705,50.0,51.02010698000004,1505.7141403134144,181.1023405922276,1,4,6.0,POINT (-5.971371188127695 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.9711915250708705,37.41456208899284,0.1496346294879913,0.0593321695923805,0.20952035,56.56854249492381,51.44906849000006,1494.881289639111,188.74854836864367,1,4,6.0,POINT (-5.9711915250708705 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.971011862014047,37.41456208899284,0.2355150282382965,0.082926832139492,0.17559145,64.03124237432849,51.44906849000006,1484.1393321867345,191.53454464008385,1,4,6.0,POINT (-5.971011862014047 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.970832198957223,37.41456208899284,0.1372291594743728,0.1039834469556808,0.1783739499999999,72.11102550927978,52.00962377000002,1473.490255831974,195.57463671691312,0,4,6.0,POINT (-5.970832198957223 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
-5.970652535900399,37.41456208899284,0.1357800513505935,0.0753800645470619,0.1796848,80.62257748298549,52.00962377000002,1462.9360888900453,200.79313912755572,0,4,6.0,POINT (-5.970652535900399 37.41456208899284),24,relation/4712406,relation/4712406,,10,,administrative,,Los Carteros,,neighbourhood,http://www.sevilla.org/ayuntamiento/areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/servicio-de-estadistica/h-elecciones/censo-electoral/division-de-los-distritos-censales,boundary,,,
