Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.967957590048041,37.41456208899284,0.1124295443296432,0.4538304805755615,0.0934183,44.72135954999579,47.36282558000005,1317.5157407889822,267.1279233865958,1,4,6.0,POINT (-5.967957590048041 37.41456208899284),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967777926991217,37.41456208899284,0.0828082785010337,0.3758754730224609,0.1156433,50.0,46.78005317000003,1308.7887624395803,266.9972384489758,1,4,6.0,POINT (-5.967777926991217 37.41456208899284),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.9683169161616885,37.41438242593601,0.0323967449367046,0.0947765186429023,0.1637641,30.0,48.82573814,1351.8453571956734,282.9990368635702,1,3,6.0,POINT (-5.9683169161616885 37.41438242593601),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.968137253104865,37.41438242593601,0.0263671875,0.0833969265222549,0.19453805,31.622776601683796,47.63284915999998,1342.965818000724,288.1129807167689,1,3,6.0,POINT (-5.968137253104865 37.41438242593601),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967957590048041,37.41438242593601,0.0584535710513591,0.0318104922771453,0.2175918,36.05551275463989,47.63284915999998,1334.2162479608198,287.1146079299763,0,4,6.0,POINT (-5.967957590048041 37.41438242593601),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967777926991217,37.41438242593601,0.0728389620780944,0.1079084202647209,0.19450175,42.426406871192846,47.055203780000056,1325.599220648547,286.9930242590022,0,5,6.0,POINT (-5.967777926991217 37.41438242593601),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.967598263934393,37.41438242593601,0.3957036733627319,-0.1125870198011398,0.21401205,50.0,47.055203780000056,1317.117337484664,287.74934112372864,0,5,6.0,POINT (-5.967598263934393 37.41438242593601),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.9674186008775685,37.41438242593601,0.3304313421249389,-0.0785147175192833,0.22911885,58.30951894845301,46.69289365999998,1308.7732259939507,289.3766751454222,1,4,6.0,POINT (-5.9674186008775685 37.41438242593601),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.968676242275336,37.414202762879185,0.1186903119087219,0.1178052723407745,0.1077038499999999,28.284271247461906,49.86310721000001,1386.341219708611,287.45175100554,0,3,6.0,POINT (-5.968676242275336 37.414202762879185),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
-5.968496579218512,37.414202762879185,0.0263157896697521,-0.0119760483503341,0.1837604,22.360679774997894,48.642874070000005,1377.317798148149,294.5369093400367,0,2,6.0,POINT (-5.968496579218512 37.414202762879185),25,relation/4712407,relation/4712407,,10,,administrative,,San Diego,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,,
