Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-5.986103558787255,37.36946666173004,0.411579966545105,0.0237545818090438,0.11956665,139.2838827718412,37.05236825000003,1950.7064012689816,27.6596650063178,0,3,6.0,POINT (-5.986103558787255 37.36946666173004),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.985923895730431,37.36946666173004,0.4820196032524109,-0.0591900311410427,0.1252156,136.01470508735443,37.34289995000006,1962.347085701684,23.15916846198805,0,3,6.0,POINT (-5.985923895730431 37.36946666173004),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.985744232673607,37.36946666173004,0.4553743600845337,-0.0716591328382492,0.12759335,133.41664064126334,37.34289995000006,1974.0469080114592,11.960361186042023,0,3,6.0,POINT (-5.985744232673607 37.36946666173004),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.985564569616783,37.36946666173004,0.1295806616544723,0.0755912810564041,0.12550645,131.52946437965906,37.58216134999998,1985.804822925516,15.55903373949774,0,3,6.0,POINT (-5.985564569616783 37.36946666173004),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.989876482980557,37.36928699867321,0.4593844711780548,-0.1284502148628235,0.1783395499999999,107.70329614269008,37.019897060000005,1706.5723171360023,46.39392449019678,1,10,6.0,POINT (-5.989876482980557 37.36928699867321),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.989696819923733,37.36928699867321,0.5230066776275635,-0.1944903582334518,0.1892306,108.16653826391968,37.07116736,1716.7834504743275,30.623558912268244,1,11,6.0,POINT (-5.989696819923733 37.36928699867321),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.989517156866909,37.36928699867321,0.1510929614305496,-0.0549257025122642,0.1894202499999999,102.95630140987,37.07116736,1727.0802666603695,15.089663633130352,1,14,6.0,POINT (-5.989517156866909 37.36928699867321),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.989337493810085,37.36928699867321,0.2264618426561355,-0.176191046833992,0.17567685,98.48857801796105,37.56678026000003,1737.4612423332028,4.699254614977923,1,14,6.0,POINT (-5.989337493810085 37.36928699867321),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.989157830753261,37.36928699867321,0.1032231748104095,0.0783912762999534,0.1160764,94.8683298050514,37.56678026000003,1747.9248780166206,17.91528667298539,0,14,6.0,POINT (-5.989157830753261 37.36928699867321),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
-5.9889781676964375,37.36928699867321,0.4090233147144317,0.0792159438133239,0.09681225,92.19544457292886,38.33925278000004,1758.469698125712,6.080516949392484,0,14,6.0,POINT (-5.9889781676964375 37.36928699867321),65,relation/5534896,relation/5534896,,10,,administrative,,Sector Sur-La Palmera-Reina Mercedes,,neighbourhood,http://www.sevilla.org/ayuntamiento/competencias-areas/area-de-hacienda-y-administracion-publica/servicio-estadistica/atribuciones-del-servicio/elecciones/censo-electoral/division-de-los-distritos-censales/,boundary,,Q121819803,
