Longitude,Latitude,NDVI,NDBI,Albedo,D2W_meters,LST_Target,D2R_HighCapacity_m,D2R_Urban_m,Tree_Density_50m,Building_Density_100m,Avg_Building_Height_100m,geometry,index_right,id,@id,@relations,admin_level,alt_name,boundary,loc_name,name,note,place,source,type,website,wikidata,wikipedia
-6.0078427886629475,37.390127913264784,0.0593724846839904,0.1218991726636886,0.1511268,100.4987562112089,45.34106674999998,467.8059967504507,6.083714823604269,0,1,3.0,POINT (-6.0078427886629475 37.390127913264784),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007663125606124,37.390127913264784,0.0265508685261011,0.0684530511498451,0.1932252,90.55385138137416,45.34106674999998,483.5868631681813,12.629397821304297,1,1,3.0,POINT (-6.007663125606124 37.390127913264784),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.0074834625493,37.390127913264784,0.0463439747691154,0.0126336244866251,0.1832212,80.62257748298549,43.41501248000003,499.3741556379865,17.782107593153356,1,1,3.0,POINT (-6.0074834625493 37.390127913264784),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007303799492475,37.390127913264784,0.0578670501708984,0.0004518752684816,0.1939838,70.71067811865476,43.41501248000003,515.1672833817781,16.030250516206173,1,1,3.0,POINT (-6.007303799492475 37.390127913264784),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007124136435651,37.390127913264784,0.0796587765216827,-0.0072861788794398,0.18928685,60.82762530298219,41.90595665000001,530.9657257034578,22.403445028110006,1,1,3.0,POINT (-6.007124136435651 37.390127913264784),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.0078427886629475,37.38994825020796,0.0517412945628166,0.0815683752298355,0.1919641499999999,101.9803902718557,45.34106674999998,465.9362414041816,11.731833940710091,0,7,10.285714285714286,POINT (-6.0078427886629475 37.38994825020796),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007663125606124,37.38994825020796,0.0805110558867454,0.0364409089088439,0.22677815,92.19544457292886,45.34106674999998,481.77835639120866,26.730403200899076,1,3,10.0,POINT (-6.007663125606124 37.38994825020796),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.0074834625493,37.38994825020796,0.2506808340549469,-0.0424818955361843,0.17712805,82.46211251235322,43.98240380000004,497.6230277803923,34.739728680434375,1,2,9.0,POINT (-6.0074834625493 37.38994825020796),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007303799492475,37.38994825020796,0.4681336879730224,-0.2022099494934082,0.21328905,72.80109889280519,43.98240380000004,513.4700189155492,36.02942767276023,1,2,9.0,POINT (-6.007303799492475 37.38994825020796),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007124136435651,37.38994825020796,0.2427362203598022,-0.1049633845686912,0.1942166,63.24555320336759,42.24263162,529.3191214475183,39.28186701191632,1,2,9.0,POINT (-6.007124136435651 37.38994825020796),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.0078427886629475,37.38976858715114,0.076053686439991,0.0376921445131301,0.1966297,104.40306508910552,45.28808744000003,464.9201209142949,27.71411400535435,0,27,8.88888888888889,POINT (-6.0078427886629475 37.38976858715114),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007663125606124,37.38976858715114,0.100067414343357,-0.0273430477827787,0.2364482999999999,94.8683298050514,45.28808744000003,480.7957180176642,36.673568721519544,0,20,9.6,POINT (-6.007663125606124 37.38976858715114),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.0074834625493,37.38976858715114,0.4112100601196289,-0.0504971742630004,0.1744423,85.44003745317531,44.05930925000001,496.671738228009,49.25767582519501,1,8,11.625,POINT (-6.0074834625493 37.38976858715114),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
-6.007303799492475,37.38976858715114,0.577573299407959,-0.1870219856500625,0.20746005,76.15773105863909,44.05930925000001,512.5481422288459,56.0292575717808,1,3,10.0,POINT (-6.007303799492475 37.38976858715114),101,relation/15541929,relation/15541929,,10,,administrative,,Triana Casco Antiguo,,neighbourhood,,boundary,,Q65158089,
